Title;Year;Genres;Language;Country;Content Rating;Duration;Aspect Ratio;Budget;Gross Earnings;Director;Actor 1;Actor 2;Actor 3;Facebook Likes - Director;Facebook Likes - Actor 1;Facebook Likes - Actor 2;Facebook Likes - Actor 3;Facebook Likes - cast Total;Facebook likes - Movie;Facenumber in posters;User Votes;Reviews by Users;Reviews by Crtiics;IMDB Score;
Autumn in New York ;2000;Drama|Romance;English;USA;PG-13;103;1,85;40000000;37752931;Joan Chen;J.K. Simmons;Sam Trammell;Elaine Stritch;643;24000;1000;586;26938;0;2;20201;180;101;5,5;
Bamboozled ;2000;Comedy|Drama|Music;English;USA;R;135;1,85;10000000;2185266;Spike Lee;Gillian White;Michael Rapaport;Jada Pinkett Smith;0;1000;975;851;4266;1000;0;8720;186;57;6,5;
Battlefield Earth ;2000;Action|Adventure|Sci-Fi;English;USA;PG-13;119;2,35;44000000;21471685;Roger Christian;Richard Tyson;Michael Byrne;John Topor;64;743;117;41;971;0;0;65464;1308;174;2,4;
Bedazzled ;2000;Comedy|Fantasy|Romance;English;USA;PG-13;93;2,35;48000000;37879996;Harold Ramis;Brendan Fraser;Frances O'Connor;Brian Doyle-Murray;11000;3000;575;484;5390;0;2;81888;254;125;6;
Best in Show ;2000;Comedy;English;USA;PG-13;90;1,85;6000000;18621249;Christopher Guest;John Michael Higgins;Catherine O'Hara;Michael McKean;378;957;925;658;4611;0;9;45859;340;119;7,5;
Big Momma's House ;2000;Action|Comedy|Crime;English;USA;PG-13;99;1,85;30000000;117559438;Raja Gosnell;Nia Long;Cedric the Entertainer;Tichina Arnold;67;826;436;330;1790;1000;1;66941;148;100;5,1;
Billy Elliot ;2000;Drama|Music;English;UK;R;110;1,85;5000000;21994911;Stephen Daldry;Julie Walters;Gary Lewis;Jamie Draven;335;838;203;34;1122;0;0;98354;433;151;7,7;
Bless the Child ;2000;Crime|Drama|Horror|Thriller;English;USA;R;107;2,35;40000000;29374178;Chuck Russell;Rufus Sewell;Jimmy Smits;Angela Bettis;55;3000;941;294;4565;394;0;12093;188;100;5,1;
Boiler Room ;2000;Crime|Drama|Thriller;English;USA;R;120;1,85;8000000;16938179;Ben Younger;Vin Diesel;Nia Long;Herbert Russell;46;14000;826;701;17336;0;3;41313;246;132;7;
Book of Shadows: Blair Witch 2 ;2000;Adventure|Fantasy|Horror|Mystery|Thriller;English;USA;R;90;1,85;15000000;26421314;Joe Berlinger;Kim Director;Erica Leerhsen;Kurt Loder;31;193;184;162;608;949;0;28964;457;160;4;
Boys and Girls ;2000;Comedy|Drama|Romance;English;USA;PG-13;94;1,85;16000000;20627372;Robert Iscove;Alyson Hannigan;Amanda Detmer;Tsianina Joelson;7;3000;240;95;3451;487;3;13661;134;67;5,3;
Bring It On ;2000;Comedy|Sport;English;USA;PG-13;98;1,85;10000000;68353550;Peyton Reed;Kirsten Dunst;Lindsay Sloane;Clare Kramer;235;4000;464;229;5270;0;1;70141;385;139;5,9;
Brother ;2000;Crime|Drama|Thriller;English;USA;R;114;1,85;10000000;447750;Takeshi Kitano;Omar Epps;Tatyana Ali;James Shigeta;0;865;685;403;2126;0;0;18520;133;81;7,2;
Cast Away ;2000;Adventure|Drama|Romance;English;USA;PG-13;143;1,85;90000000;233630478;Robert Zemeckis;Tom Hanks;Paul Sanchez;Nick Searcy;0;15000;410;272;15838;23000;1;394317;1051;221;7,7;
Cecil B. DeMented ;2000;Comedy|Crime|Thriller;English;France;R;87;1,85;10000000;1276984;John Waters;Alicia Witt;Melanie Griffith;Kevin Nealon;0;975;537;503;3059;795;2;11403;150;90;6,2;
Center Stage ;2000;Drama|Music|Romance;English;USA;PG-13;115;2,35;18000000;17174870;Nicholas Hytner;Amanda Schull;Susan May Pratt;Ethan Stiefel;13;757;220;111;1201;0;2;15817;210;68;6,7;
Charlie's Angels ;2000;Action|Adventure|Comedy|Crime|Thriller;English;USA;PG-13;94;2,35;92000000;125305545;McG;Bill Murray;LL Cool J;Kelly Lynch;368;13000;1000;466;15419;0;0;145350;643;181;5,5;
Chicken Run ;2000;Adventure|Animation|Comedy|Drama|Family;English;UK;G;84;1,85;45000000;106793915;Peter Lord;Imelda Staunton;Miranda Richardson;Julia Sawalha;91;579;530;206;1817;0;0;140499;358;187;7;
Chocolat ;2000;Drama|Romance;English;UK;PG-13;121;1,85;25000000;71309760;Lasse Hallström;Lena Olin;Leslie Caron;Hugh O'Conor;529;541;399;163;1323;18000;1;150308;498;152;7,3;
Chuck & Buck ;2000;Comedy|Drama;English;USA;R;96;1,85;250000;1050600;Miguel Arteta;Lupe Ontiveros;Mike White;Chris Weitz;44;625;487;129;1378;170;0;4662;136;59;6,6;
Coyote Ugly ;2000;Comedy|Drama|Music|Romance;English;USA;PG-13;107;2,35;45000000;60786269;David McNally;Adam Garcia;Tyra Banks;Izabella Miko;18;811;625;560;3106;0;5;90539;379;155;5,6;
Crouching Tiger, Hidden Dragon ;2000;Action|Drama|Romance;Mandarin;Taiwan;PG-13;120;2,35;15000000;128067808;Ang Lee;Chen Chang;Pei-Pei Cheng;Sihung Lung;0;103;21;5;129;0;3;217740;1641;287;7,9;
Dancer in the Dark ;2000;Crime|Drama|Musical;English;Denmark;R;140;2,35;12800000;4157491;Lars von Trier;Catherine Deneuve;Udo Kier;Björk;3000;963;595;322;2894;0;0;79330;690;177;8;
Digimon: The Movie ;2000;Action|Adventure|Animation|Family|Sci-Fi;English;USA;PG;82;1,85;5000000;9628751;Mamoru Hosoda;Lara Jill Miller;Colleen O'Shaughnessey;Mona Marshall;99;93;45;44;315;207;0;5164;65;29;5,9;
Dinner Rush ;2000;Crime|Drama|Romance;English;USA;R;99;1,85;;110000;Bob Giraldi;Danny Aiello;Manny Perez;Ajay Naidu;34;388;159;120;1156;495;1;4359;73;39;7,3;
Dinosaur ;2000;Adventure|Animation|Family|Thriller;English;USA;PG;82;1,85;127500000;137748063;Eric Leighton;Alfre Woodard;D.B. Sweeney;Della Reese;0;1000;558;388;2945;0;1;38438;241;145;6,5;
Down to You ;2000;Comedy|Drama|Romance;English;USA;PG-13;91;1,85;9000000;20035310;Kris Isacsson;Rosario Dawson;Lauren German;Shawn Hatosy;0;3000;683;407;4409;580;1;12324;173;64;4,9;
Dracula 2000 ;2000;Action|Fantasy|Horror|Thriller;English;USA;R;99;2,35;28000000;33000377;Patrick Lussier;Gerard Butler;Danny Masterson;Jeri Ryan;71;18000;1000;1000;23344;0;0;27378;365;122;4,9;
Drowning Mona ;2000;Comedy|Crime|Mystery;English;USA;PG-13;96;1,85;16000000;15427192;Nick Gomez;Will Ferrell;Jamie Lee Curtis;Tracey Walter;22;8000;2000;324;11078;492;0;11768;148;84;5,6;
Dude, Where's My Car? ;2000;Comedy|Mystery;English;USA;PG-13;83;1,37;13000000;46729374;Danny Leiner;Jennifer Garner;Mary Lynn Rajskub;Marla Sokoloff;8;3000;934;612;6454;0;2;116625;469;106;5,5;
Duets ;2000;Comedy|Drama|Music;English;USA;R;112;1,85;15000000;4734235;Bruce Paltrow;Lochlyn Munro;Marian Seldes;Huey Lewis;28;555;403;215;1227;573;0;8217;123;65;6;
Erin Brockovich ;2000;Biography|Drama;English;USA;R;131;1,85;52000000;125548685;Steven Soderbergh;Julia Roberts;Albert Finney;Conchata Ferrell;0;8000;883;658;10003;0;0;135246;498;169;7,3;
Everything Put Together ;2000;Drama;English;USA;R;87;1,85;100000;;Marc Forster;Radha Mitchell;Alan Ruck;Megan Mullally;395;991;946;637;3309;22;0;601;10;24;6,6;
Final Destination ;2000;Horror|Thriller;English;USA;R;98;1,85;23000000;53302314;James Wong;Daniel Roebuck;Brendan Fehr;Kerr Smith;70;1000;847;591;3345;0;1;181058;674;211;6,7;
Finding Forrester ;2000;Drama;English;USA;PG-13;136;2,35;43000000;51768623;Gus Van Sant;F. Murray Abraham;Rob Brown;Michael Nouri;835;670;370;225;1801;0;1;73006;297;137;7,3;
Fiza ;2000;Drama|Romance;Hindi;India;;167;2,35;1000000;610991;Khalid Mohamed;Karisma Kapoor;Manoj Bajpayee;Jaya Bhaduri;10;353;186;97;773;92;3;2715;19;1;6,2;
Frequency ;2000;Crime|Drama|Mystery|Sci-Fi|Thriller;English;USA;PG-13;118;2,35;31000000;44983704;Gregory Hoblit;Dennis Quaid;Andre Braugher;Noah Emmerich;40;2000;702;617;4045;0;0;81866;510;168;7,3;
George Washington ;2000;Drama;English;USA;Unrated;90;2,35;42000;241816;David Gordon Green;Paul Schneider;Eddie Rouse;Damian Jewan Lee;234;552;61;15;642;451;0;6246;76;75;7,5;
Get Carter ;2000;Action|Crime|Drama|Thriller;English;USA;R;102;2,35;40000000;14967182;Stephen Kay;Sylvester Stallone;Miranda Richardson;Lauren Lee Smith;19;13000;530;351;14463;604;1;27305;284;102;5,1;
Gladiator ;2000;Action|Drama|Romance;English;USA;R;171;2,35;103000000;187670866;Ridley Scott;Djimon Hounsou;Connie Nielsen;Oliver Reed;0;3000;933;695;6521;21000;0;982637;2368;265;8,5;
Gone in Sixty Seconds ;2000;Action|Crime|Thriller;English;USA;PG-13;127;2,35;90000000;101643008;Dominic Sena;Nicolas Cage;Angelina Jolie Pitt;Robert Duvall;57;12000;11000;3000;29069;0;1;218341;498;175;6,5;
Gossip ;2000;Drama|Mystery|Thriller;English;USA;R;90;2,35;24000000;5108820;Davis Guggenheim;Norman Reedus;Sharon Lawrence;Noam Jenkins;49;12000;215;191;12776;853;5;12519;112;63;5,9;
Groove ;2000;Drama|Music;English;USA;R;86;1,85;500000;1114943;Greg Harrison;Rachel True;Ari Gold;Denny Kirkwood;7;328;27;17;407;0;0;3562;74;46;6,5;
Gun Shy ;2000;Comedy|Crime|Romance;English;USA;R;101;1,85;10000000;1631839;Eric Blakeney;Liam Neeson;Oliver Platt;Mitch Pileggi;3;14000;1000;826;17665;242;0;5936;91;49;5,7;
Hanging Up ;2000;Comedy|Drama;English;Germany;PG-13;94;1,85;60000000;36037909;Diane Keaton;Adam Arkin;Celia Weston;Jesse James;0;374;258;235;1238;390;3;10132;130;82;4,7;
Here on Earth ;2000;Drama|Romance;English;USA;PG-13;96;1,85;15000000;10494147;Mark Piznarski;Bruce Greenwood;Chris Klein;Elaine Hendrix;4;989;841;670;3142;648;1;7403;162;44;5,1;
High Fidelity ;2000;Comedy|Drama|Music|Romance;English;UK;R;113;1,85;20000000;27277055;Stephen Frears;Drake Bell;Lili Taylor;Lisa Bonet;350;1000;960;619;3141;10000;0;143137;602;174;7,6;
Highlander: Endgame ;2000;Action|Adventure|Fantasy|Sci-Fi;English;USA;R;101;2,35;15000000;12801190;Douglas Aarniokoski;Christopher Lambert;Adrian Paul;Adam Copeland;36;1000;786;377;2764;356;1;16340;355;90;4,6;
Hollow Man ;2000;Action|Horror|Sci-Fi|Thriller;English;USA;R;119;1,85;95000000;73209340;Paul Verhoeven;Greg Grunberg;Kim Dickens;Joey Slotnick;719;833;624;423;2356;0;0;101834;628;180;5,7;
How the Grinch Stole Christmas ;2000;Comedy|Family|Fantasy;English;USA;PG;110;1,85;123000000;260031035;Ron Howard;Clint Howard;T.J. Thyne;Molly Shannon;2000;1000;722;636;4146;0;0;141414;482;175;6;
Hum To Mohabbat Karega ;2000;Action|Comedy|Romance|Thriller;Hindi;India;;;;;;Kundan Shah;Karisma Kapoor;Bobby Deol;Shakti Kapoor;4;353;89;72;613;10;2;275;1;1;2,8;
I Dreamed of Africa ;2000;Adventure|Drama|Romance;English;USA;PG-13;114;2,35;34000000;6543194;Hugh Hudson;Liam Aiken;Eva Marie Saint;Vincent Perez;46;818;649;292;1778;314;1;3740;61;52;5,6;
Isn't She Great ;2000;Biography|Comedy|Romance;English;USA;R;95;1,85;36000000;2954405;Andrew Bergman;Stockard Channing;Nathan Lane;John Larroquette;31;944;886;450;2928;133;0;1977;64;63;5,3;
Keeping the Faith ;2000;Comedy|Drama|Romance;English;USA;PG-13;128;1,85;30000000;37036404;Edward Norton;Lisa Edelstein;Milos Forman;Anne Bancroft;0;955;869;754;5404;0;3;44816;259;148;6,4;
Lisa Picard Is Famous ;2000;Comedy|Drama;English;USA;PG-13;90;;;112521;Griffin Dunne;Mira Sorvino;Fisher Stevens;Melissa Gilbert;165;978;922;679;3258;25;1;455;16;13;5,7;
Little Nicky ;2000;Comedy|Fantasy;English;USA;PG-13;90;1,85;80000000;39442871;Steven Brill;Adam Sandler;Jon Lovitz;Michael McKean;65;11000;11000;658;25190;0;0;80639;237;87;5,3;
Loser ;2000;Comedy|Romance;English;USA;PG-13;98;1,85;20000000;15464026;Amy Heckerling;Andy Dick;Robert Miano;Zak Orth;143;302;216;153;1189;1000;2;23076;158;81;5,3;
Lost Souls ;2000;Drama|Horror|Thriller;English;USA;R;97;2,35;28000000;16779636;Janusz Kaminski;Philip Baker Hall;Bob Clendenin;Ben Chaplin;710;497;347;258;1805;209;2;9338;167;100;4,8;
Love & Basketball ;2000;Drama|Romance|Sport;English;USA;PG-13;124;1,85;15000000;27441122;Gina Prince-Bythewood;Alfre Woodard;Sanaa Lathan;Omar Epps;107;1000;886;865;5135;0;0;14322;116;68;7,2;
Lucky Numbers ;2000;Comedy|Crime;English;France;R;105;1,85;65000000;10014234;Nora Ephron;Michael Rapaport;Michael Moore;Richard Schiff;0;975;909;506;3580;177;1;8560;69;60;5;
Luminarias ;2000;Comedy|Romance;English;USA;R;100;;1000000;428535;José Luis Valenzuela;Cheech Marin;Lupe Ontiveros;Robert Beltran;0;844;625;268;2289;24;1;505;32;13;3,6;
Me, Myself & Irene ;2000;Comedy;English;USA;R;116;1,85;51000000;90567722;Bobby Farrelly;Robert Forster;Tony Cox;Rob Moran;101;889;624;79;1711;0;1;185878;481;155;6,5;
Meet the Parents ;2000;Comedy;English;USA;PG-13;108;1,85;55000000;166225040;Jay Roach;Robert De Niro;Blythe Danner;Teri Polo;116;22000;713;708;24286;0;2;260442;507;150;7;
Memento ;2000;Mystery|Thriller;English;USA;R;113;2,35;9000000;25530884;Christopher Nolan;Callum Rennie;Thomas Lennon;Jorja Fox;22000;716;651;379;1997;40000;0;845580;2067;274;8,5;
Men of Honor ;2000;Biography|Drama;English;USA;R;129;2,35;32000000;48814909;George Tillman Jr.;Robert De Niro;Charlize Theron;Michael Rapaport;88;22000;9000;975;36069;0;0;89424;224;98;7,2;
Mercy Streets ;2000;Action|Crime|Drama;English;USA;PG-13;106;1,85;600000;171988;Jon Gunn;Stacy Keach;David A.R. White;Cynthia Watros;16;602;266;254;1281;12;1;448;16;15;5,6;
Michael Jordan to the Max ;2000;Documentary|Sport;English;USA;;46;1,44;;18642318;Don Kempf;Bill Murray;Michael Jordan;Bob Costas;0;13000;366;69;13448;407;0;1723;13;14;7,5;
Miss Congeniality ;2000;Action|Comedy|Crime|Romance;English;USA;PG-13;109;1,85;45000000;106807667;Donald Petrie;Candice Bergen;Wendy Raquel Robinson;Heather Burns;80;545;337;213;1574;0;1;137377;370;140;6,2;
Mission to Mars ;2000;Adventure|Sci-Fi|Thriller;English;USA;PG;114;2,35;90000000;60874615;Brian De Palma;Don Cheadle;Connie Nielsen;Kim Delaney;0;3000;933;281;4902;0;0;60467;949;181;5,6;
Mission: Impossible II ;2000;Action|Adventure|Thriller;English;USA;PG-13;123;2,35;125000000;215397307;John Woo;Tom Cruise;Dougray Scott;Richard Roxburgh;610;10000;794;653;11930;0;0;242188;1426;237;6,1;
My Dog Skip ;2000;Drama|Family|Sport;English;USA;PG;95;1,37;5000000;34099640;Jay Russell;Clint Howard;Frankie Muniz;Cody Linley;13;1000;934;430;2515;0;0;16651;149;79;7;
Next Friday ;2000;Comedy;English;USA;R;98;1,85;9500000;57176582;Steve Carr;John Witherspoon;Mike Epps;Rolando Molina;41;723;706;525;3939;0;1;27492;84;55;6,1;
Nine Queens ;2000;Crime|Drama|Thriller;Spanish;Argentina;R;114;1,85;1500000;1221261;Fabián Bielinsky;Ricardo Darín;Gastón Pauls;Leticia Brédice;44;827;22;7;856;0;0;38215;125;94;7,9;
Nurse Betty ;2000;Comedy|Crime|Drama;English;Germany;R;110;2,35;24000000;25167270;Neil LaBute;Morgan Freeman;Pruitt Taylor Vince;Kathleen Wilhoite;119;11000;592;265;12254;455;4;30119;263;156;6,3;
Nutty Professor II: The Klumps ;2000;Comedy|Romance|Sci-Fi;English;USA;PG-13;109;1,85;65000000;123307945;Peter Segal;Larry Miller;Janet Jackson;Chris Elliott;88;611;592;571;2818;374;1;39391;171;94;4,3;
O Brother, Where Art Thou? ;2000;Adventure|Comedy|Crime|Music;English;UK;PG-13;107;2,35;26000000;45506619;Joel Coen;Holly Hunter;Tim Blake Nelson;Daniel von Bargen;0;1000;596;577;3066;16000;3;225102;862;197;7,8;
Pandaemonium ;2000;Biography|Drama;English;UK;PG-13;124;;15000000;;Julien Temple;Samantha Morton;Dexter Fletcher;Linus Roache;67;631;452;303;1585;277;1;695;32;22;6,6;
Pay It Forward ;2000;Drama;English;USA;PG-13;123;1,85;40000000;33508922;Mimi Leder;Kevin Spacey;Haley Joel Osment;Angie Dickinson;75;18000;3000;754;23920;16000;2;95860;660;157;7,2;
Pitch Black ;2000;Horror|Sci-Fi;English;USA;R;112;2,35;23000000;39235088;David Twohy;Vin Diesel;Radha Mitchell;Cole Hauser;123;14000;991;787;16196;5000;0;193962;805;214;7,1;
Pokémon 3: The Movie ;2000;Action|Adventure|Animation|Family|Fantasy|Sci-Fi;Japanese;Japan;G;93;1,85;16000000;;Kunihiko Yuyama;Veronica Taylor;Eric Stuart;Lisa Ortiz;8;88;82;49;373;38;0;9066;55;39;5,6;
Pollock ;2000;Biography|Drama;English;USA;R;122;1,85;6000000;8596914;Ed Harris;John Heard;Bud Cort;Amy Madigan;0;697;394;221;1517;0;0;23023;148;115;7;
Proof of Life ;2000;Action|Drama|Thriller;English;USA;R;135;2,35;65000000;32598931;Taylor Hackford;Pamela Reed;Alun Armstrong;Michael Kitchen;138;324;192;184;1013;892;1;49300;265;134;6,2;
Psycho Beach Party ;2000;Comedy|Horror|Mystery;English;Australia;Unrated;85;1,85;1500000;265107;Robert Lee King;Lauren Ambrose;Kathleen Robertson;Beth Broderick;0;945;774;209;2282;614;1;4617;93;51;6,3;
Quills ;2000;Biography|Drama;English;UK;R;124;1,85;13500000;7060876;Philip Kaufman;Kate Winslet;Stephen Marcus;Amelia Warner;133;14000;230;170;14726;0;1;44795;314;132;7,4;
Ready to Rumble ;2000;Comedy|Sport;English;USA;PG-13;107;1,85;24000000;12372410;Brian Robbins;Oliver Platt;Ellen Albertini Dow;Martin Landau;48;1000;957;940;4971;650;1;11709;101;51;5,3;
Red Planet ;2000;Action|Sci-Fi|Thriller;English;USA;PG-13;106;2,35;70000000;17473245;Antony Hoffman;Bob Neill;Val Kilmer;Tom Sizemore;14;2;0;0;2;995;1;47612;348;145;5,7;
Reindeer Games ;2000;Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller;English;USA;R;124;2,35;34000000;23360779;John Frankenheimer;Charlize Theron;James Frain;Clarence Williams III;287;9000;1000;475;10838;852;0;31113;212;126;5,7;
Remember the Titans ;2000;Biography|Drama|Sport;English;USA;PG;120;2,35;30000000;115648585;Boaz Yakin;Ryan Gosling;Denzel Washington;Ethan Suplee;132;33000;18000;1000;54877;0;1;160776;402;157;7,8;
Requiem for a Dream ;2000;Drama;English;USA;R;102;1,37;4500000;3609278;Darren Aronofsky;Ellen Burstyn;Mark Margolis;Louise Lasser;0;1000;1000;167;2235;38000;0;573541;1916;234;8,4;
Return to Me ;2000;Comedy|Drama|Romance;English;USA;PG;115;1,85;24000000;32662299;Bonnie Hunt;Minnie Driver;Jim Belushi;Bonnie Hunt;597;893;854;597;3946;0;1;16469;275;106;6,9;
Road Trip ;2000;Comedy;English;USA;R;94;1,85;15600000;68525609;Todd Phillips;Ethan Suplee;Rachel Blanchard;Paulo Costanzo;480;1000;490;486;3889;0;5;132963;302;103;6,5;
Romeo Must Die ;2000;Action|Crime|Thriller;English;USA;R;115;2,35;25000000;55973336;Andrzej Bartkowiak;Jet Li;Delroy Lindo;Aaliyah;43;5000;848;775;9082;0;1;57040;365;70;6,1;
Rugrats in Paris: The Movie ;2000;Adventure|Animation|Comedy|Family|Romance;English;Germany;G;78;1,85;30000000;76501438;Stig Bergqvist;Elizabeth Daily;Casey Kasem;Debbie Reynolds;0;971;844;786;4527;181;0;8146;49;41;6,1;
Scream 3 ;2000;Horror|Mystery;English;USA;R;116;2,35;40000000;89138076;Wes Craven;Kelly Rutherford;Roger Jackson;Nancy O'Dell;0;287;157;71;600;0;4;98535;734;212;5,5;
Screwed ;2000;Comedy|Crime;English;USA;PG-13;81;1,85;10000000;6982680;Scott Alexander;Sarah Silverman;Dave Chappelle;Sherman Hemsley;25;931;744;654;3848;262;0;6965;69;29;5,7;
Sexy Beast ;2000;Crime|Thriller;English;UK;R;89;2,35;;6940281;Jonathan Glazer;Ray Winstone;James Fox;Amanda Redman;143;1000;146;100;1291;0;6;43135;346;149;7,3;
Shadow of the Vampire ;2000;Drama|Horror;English;UK;R;92;2,35;8000000;8279017;E. Elias Merhige;Eddie Izzard;Udo Kier;Catherine McCormack;54;776;595;306;1761;0;1;34191;339;196;6,9;
Shaft ;2000;Action|Crime|Thriller;English;Germany;R;99;2,35;46000000;70327868;John Singleton;Christian Bale;Vanessa Williams;Daniel von Bargen;309;23000;1000;577;26527;0;0;58416;301;160;5,9;
Shanghai Noon ;2000;Action|Adventure|Comedy|Western;English;USA;PG-13;110;2,35;55000000;56932305;Tom Dey;Xander Berkeley;Jason Connery;Kate Luyben;9;485;110;95;939;0;2;96690;293;146;6,6;
Small Time Crooks ;2000;Comedy|Crime;English;USA;PG;94;1,85;18000000;17071230;Woody Allen;Woody Allen;Jon Lovitz;Michael Rapaport;11000;11000;11000;975;23283;812;0;31169;192;128;6,7;
Snatch ;2000;Comedy|Crime;English;UK;R;104;1,85;6000000;30093107;Guy Ritchie;Jason Statham;Brad Pitt;Jason Flemyng;0;26000;11000;1000;39175;27000;6;600996;726;151;8,3;
Snatch ;2000;Comedy|Crime;English;UK;R;104;1,85;6000000;30093107;Guy Ritchie;Jason Statham;Brad Pitt;Jason Flemyng;0;26000;11000;1000;39175;27000;6;600996;726;151;8,3;
Snow Day ;2000;Adventure|Comedy|Family;English;USA;PG;89;1,85;13000000;60008303;Chris Koch;Chris Elliott;Mark Webber;Jean Smart;13;571;442;329;2241;0;1;9285;91;42;4,9;
Songcatcher ;2000;Drama|Music;English;USA;PG-13;109;1,85;1800000;3050934;Maggie Greenwald;Aidan Quinn;David Patrick Kelly;Jane Adams;9;767;380;280;2187;0;1;2794;78;39;7,3;
Space Cowboys ;2000;Action|Adventure|Thriller;English;USA;PG-13;130;2,35;65000000;90454043;Clint Eastwood;Clint Eastwood;Courtney B. Vance;William Devane;16000;16000;495;416;17771;0;1;60165;326;169;6,4;
Supernova ;2000;Horror|Sci-Fi|Thriller;English;USA;PG-13;91;2,35;65000000;14218868;Walter Hill;Robert Forster;Wilson Cruz;Vanessa Marshall;394;889;290;68;1262;589;0;14596;282;100;4,8;
Tadpole ;2000;Comedy|Drama|Romance;English;USA;PG-13;78;1,85;150000;2882062;Gary Winick;Bebe Neuwirth;Aaron Stanford;Ron Rifkin;56;376;346;184;1144;132;2;5178;101;91;6,3;
The 6th Day ;2000;Action|Mystery|Sci-Fi|Thriller;English;USA;PG-13;123;2,35;82000000;34543701;Roger Spottiswoode;Robert Duvall;Michael Rapaport;Tony Goldwyn;55;3000;975;956;5839;0;1;100001;289;170;5,9;
The Adventures of Rocky & Bullwinkle ;2000;Adventure|Animation|Comedy|Family|Fantasy;English;USA;PG;92;1,85;76000000;26000610;Des McAnuff;Robert De Niro;Janeane Garofalo;Jonathan Winters;5;22000;1000;924;28050;413;0;16611;197;49;4,1;
The Art of War ;2000;Action|Adventure|Crime|Thriller;English;USA;R;116;2,35;40000000;30199105;Christian Duguay;Michael Biehn;Cary-Hiroyuki Tagawa;Anne Archer;18;2000;1000;249;3753;470;0;25346;167;110;5,7;
The Beach ;2000;Adventure|Drama|Thriller;English;USA;R;119;2,35;50000000;39778599;Danny Boyle;Leonardo DiCaprio;Virginie Ledoyen;Peter Youngblood Hills;0;29000;414;39;29461;0;0;176169;548;118;6,6;
The Broken Hearts Club: A Romantic Comedy ;2000;Comedy|Drama|Romance|Sport;English;USA;R;94;2,35;1000000;1744858;Greg Berlanti;Justin Theroux;Nia Long;Mary McCormack;112;1000;826;428;3085;671;1;6084;120;51;7;
The Cell ;2000;Horror|Sci-Fi|Thriller;English;USA;R;109;2,35;33000000;61280963;Tarsem Singh;Dylan Baker;Jake Weber;James Gammon;763;812;551;311;2474;0;1;79877;677;225;6,3;
The Circle ;2000;Drama;Persian;Iran;Not Rated;90;1,85;10000;673780;Jafar Panahi;Fereshteh Sadre Orafaiy;Nargess Mamizadeh;Mojgan Faramarzi;397;5;0;0;5;697;0;4555;26;64;7,5;
The Claim ;2000;Drama|Romance|Western;English;UK;R;115;2,35;20000000;403932;Michael Winterbottom;Milla Jovovich;Sarah Polley;Shirley Henderson;187;14000;900;887;17104;141;4;5254;92;71;6,5;
